Ticker,Symbol,Name,Market
005930,005930.KS,삼성전자,KOSPI
005935,005935.KS,삼성전자우,KOSPI
000660,000660.KS,SK하이닉스,KOSPI
373220,373220.KS,LG에너지솔루션,KOSPI
207940,207940.KS,삼성바이오로직스,KOSPI
005380,005380.KS,현대차,KOSPI
006400,006400.KS,삼성SDI,KOSPI
051910,051910.KS,LG화학,KOSPI
035420,035420.KS,NAVER,KOSPI
005490,005490.KS,POSCO홀딩스,KOSPI
068270,068270.KS,셀트리온,KOSPI
105560,105560.KS,KB금융,KOSPI
055550,055550.KS,신한지주,KOSPI
012330,012330.KS,현대모비스,KOSPI
028260,028260.KS,삼성물산,KOSPI
096770,096770.KS,SK이노베이션,KOSPI
066570,066570.KS,LG전자,KOSPI
017670,017670.KS,SK텔레콤,KOSPI
003550,003550.KS,LG,KOSPI
034730,034730.KS,SK,KOSPI
086790,086790.KS,하나금융지주,KOSPI
018260,018260.KS,삼성에스디에스,KOSPI
032830,032830.KS,삼성생명,KOSPI
015760,015760.KS,한국전력,KOSPI
011200,011200.KS,HMM,KOSPI
010950,010950.KS,S-Oil,KOSPI
009540,009540.KS,HD한국조선해양,KOSPI
000270,000270.KS,기아,KOSPI
024110,024110.KS,기업은행,KOSPI
259960,259960.KS,크래프톤,KOSPI
329180,329180.KS,HD현대중공업,KOSPI
267260,267260.KS,HD현대일렉트릭,KOSPI
010130,010130.KS,고려아연,KOSPI
316140,316140.KS,우리금융지주,KOSPI
323410,323410.KS,카카오뱅크,KOSPI
033780,033780.KS,KT&G,KOSPI
034020,034020.KS,두산에너빌리티,KOSPI
003670,003670.KS,포스코퓨처엠,KOSPI
011170,011170.KS,롯데케미칼,KOSPI
030200,030200.KS,KT,KOSPI
036570,036570.KS,엔씨소프트,KOSPI
009150,009150.KS,삼성전기,KOSPI
042700,042700.KS,한미반도체,KOSPI
035720,035720.KS,카카오,KOSPI
047050,047050.KS,포스코인터내셔널,KOSPI
267250,267250.KS,HD현대,KOSPI
402340,402340.KS,SK스퀘어,KOSPI
071050,071050.KS,한국금융지주,KOSPI
302440,302440.KS,SK바이오사이언스,KOSPI
009830,009830.KS,한화솔루션,KOSPI
012450,012450.KS,한화에어로스페이스,KOSPI
247540,247540.KQ,에코프로비엠,KOSDAQ
086520,086520.KQ,에코프로,KOSDAQ
196170,196170.KQ,알테오젠,KOSDAQ
091990,091990.KQ,셀트리온헬스케어,KOSDAQ
263750,263750.KQ,펄어비스,KOSDAQ
293490,293490.KQ,카카오게임즈,KOSDAQ
278280,278280.KQ,천보,KOSDAQ
066970,066970.KQ,엘앤에프,KOSDAQ
214150,214150.KQ,클래시스,KOSDAQ
068760,068760.KQ,셀트리온제약,KOSDAQ
058470,058470.KQ,리노공업,KOSDAQ
095660,095660.KQ,네오위즈,KOSDAQ
253450,253450.KQ,스튜디오드래곤,KOSDAQ
240810,240810.KQ,원익IPS,KOSDAQ
039030,039030.KQ,이오테크닉스,KOSDAQ
145020,145020.KQ,휴젤,KOSDAQ
098460,098460.KQ,고영,KOSDAQ
085660,085660.KQ,차바이오텍,KOSDAQ
200130,200130.KQ,콜마비앤에이치,KOSDAQ
041510,041510.KQ,에스엠,KOSDAQ
122870,122870.KQ,와이지엔터테인먼트,KOSDAQ
093320,093320.KQ,케이아이엔엑스,KOSDAQ
067310,067310.KQ,하나마이크론,KOSDAQ
095340,095340.KQ,ISC,KOSDAQ
237690,237690.KQ,에스티팜,KOSDAQ
056190,056190.KQ,에스에프에이,KOSDAQ
140860,140860.KQ,파크시스템스,KOSDAQ
214370,214370.KQ,케어젠,KOSDAQ
039440,039440.KQ,에스티아이,KOSDAQ
048410,048410.KQ,현대바이오,KOSDAQ
064760,064760.KQ,티씨케이,KOSDAQ
065350,065350.KQ,신성델타테크,KOSDAQ
036930,036930.KQ,주성엔지니어링,KOSDAQ
222080,222080.KQ,씨아이에스,KOSDAQ
078600,078600.KQ,대주전자재료,KOSDAQ
078340,078340.KQ,컴투스,KOSDAQ
357780,357780.KQ,솔브레인,KOSDAQ
365340,365340.KQ,성일하이텍,KOSDAQ
230360,230360.KQ,에코마케팅,KOSDAQ
298380,298380.KQ,에이비엘바이오,KOSDAQ
112040,112040.KQ,위메이드,KOSDAQ
067160,067160.KQ,SOOP,KOSDAQ
053800,053800.KQ,안랩,KOSDAQ
